Age,Lysine,Lcystin
1,-3.72,-50
2,-3.72,-50
3,-3.72,-50
4,-3.72,-50
5,-3.72,-50
6,-3.72,-50
7,-3.72,-50
8,-3.72,-50
9,-3.72,-50
10,-3.72,-50
11,-3.72,-50
12,-3.72,-50
13,-3.72,-50
14,-3.72,-50
15,-3.72,-50
16,-3.72,-50
17,-3.72,-50
18,-3.72,-50
19,-3.72,-50
20,-3.72,-50
21,-3.72,-50
22,-3.72,-50
23,-3.72,-50
24,-3.72,-50
25,-3.72,-50
26,-3.72,-50
27,-3.72,-53
28,-3.72,-53.3
29,-3.72,-53.6
30,-3.72,-54.1
31,-3.72,-55
32,-3.72,-57
33,-3.72,-58
34,-3.72,-60
35,-3.72,-61
36,-3.72,-62
37,-3.72,-64
38,-3.72,-66
39,-3.72,-67
40,-3.72,-67
41,-3.72,-68
42,-3.72,-69.2
43,-3.72,-70.482
44,-3.72,-71.771
45,-3.72,-73.06
46,-3.72,-74.349
47,-3.72,-75.639
48,-3.72,-76.929
49,-3.72,-78.219
50,-3.72,-79.509
51,-3.72,-80.799
52,-3.72,-82.089
53,-3.72,-83.38
54,-3.72,-84.67
55,-3.72,-85.961
56,-3.72,-87.251
57,-3.72,-88.543
58,-3.72,-89.86
59,-3.72,-90.99
60,-3.72,-90.9
61,-3.71,-90.09
62,-3.71,-89.29
63,-3.71,-88.46
64,-3.71,-87.62
65,-3.71,-86.77
66,-3.71,-85.881
67,-3.71,-85.041
68,-3.71,-84.18
69,-3.71,-83.29
70,-3.71,-82.38
71,-3.71,-81.35
72,-3.71,-81.19
73,-3.71,-81.027
74,-3.71,-80.881
75,-3.71,-80.74
76,-3.7,-80.61
77,-3.7,-80.5
78,-3.7,-80.37
79,-3.7,-80.271
80,-3.7,-80.13
81,-3.7,-79.99
82,-3.7,-79.9
83,-3.7,-79.84
84,-3.7,-79.78
85,-3.7,-79.78
86,-3.7,-79.845
87,-3.7,-80
88,-3.7,-80.13
89,-3.69,-80.26
90,-3.69,-80.21
91,-3.69,-79.975
92,-3.69,-80.115
93,-3.69,-80.25
94,-3.69,-80.41
95,-3.69,-80.545
96,-3.69,-80.68
97,-3.69,-80.79
98,-3.69,-80.91
99,-3.69,-81.06
100,-3.69,-81.13
101,-3.69,-81.2
102,-3.69,-81.26
103,-3.69,-81.32
104,-3.69,-81.38
105,-3.69,-81.41
106,-3.69,-81.44
107,-3.69,-81.49
108,-3.69,-81.49
109,-3.69,-81.52
110,-3.69,-81.51
111,-3.69,-81.53
112,-3.69,-81.54
113,-3.69,-81.55
114,-3.69,-81.56
115,-3.69,-81.54
116,-3.69,-81.53
117,-3.69,-81.55
118,-3.69,-81.54
119,-3.69,-81.56
120,-3.69,-81.55
121,-3.69,-81.51
122,-3.69,-81.61
123,-3.69,-81.75
124,-3.69,-81.86
125,-3.69,-81.97
126,-3.69,-82.059
127,-3.69,-82.1846
128,-3.69,-82.3053
129,-3.69,-82.414
130,-3.69,-82.5486
131,-3.69,-82.6801
132,-3.69,-82.9688
133,-3.69,-83.2539
134,-3.69,-83.5185
135,-3.69,-83.7837
136,-3.69,-84.0451
137,-3.69,-84.317
138,-3.69,-84.5894
139,-3.69,-84.8228
140,-3.69,-85.0586
141,-3.69,-85.2862
142,-3.69,-85.5309
143,-3.69,-85.7859
144,-3.69,-86.0413
145,-3.69,-86.2885
146,-3.69,-86.5545
147,-3.69,-86.798
148,-3.69,-87.0418
149,-3.68,-87.2985
150,-3.68,-87.5481
151,-3.68,-87.8824
152,-3.68,-88.1984
153,-3.68,-88.5096
154,-3.68,-88.8206
155,-3.68,-89.1268
156,-3.68,-89.4306
157,-3.68,-89.7249
158,-3.68,-90.0191
159,-3.68,-90.3085
160,-3.68,-90.5978
161,-3.68,-90.8823
162,-3.68,-91.1621
163,-3.68,-91.4417
164,-3.68,-91.7166
165,-3.68,-91.9867
166,-3.68,-92.2568
167,-3.68,-92.5174
168,-3.68,-92.7826
169,-3.68,-92.8802
170,-3.68,-92.9777
171,-3.68,-93.0704
172,-3.68,-93.1632
173,-3.68,-93.2465
174,-3.68,-93.3275
175,-3.68,-93.4086
176,-3.68,-93.4849
177,-3.68,-93.5566
178,-3.68,-93.6234
179,-3.68,-93.6904
180,-3.68,-93.7528
