Age,Brain_atp
1,3000
2,3009
3,3015
4,3030
5,3045
6,3060
7,3075
8,3090
9,3105
10,3120
11,3135
12,3150
13,3165
14,3180
15,3195
16,3210
17,3225
18,3240
19,3255
20,3270
21,3285
22,3300
23,3315
24,3330
25,3345
26,3360
27,3375
28,3390
29,3405
30,3420
31,3435
32,3450
33,3465
34,3480
35,3495
36,3510
37,3525
38,3540
39,3555
40,3570
41,3585
42,3600
43,3615
44,3630
45,3645
46,3660
47,3675
48,3690
49,3705
50,3720
51,3735
52,3750
53,3765
54,3780
55,3795
56,3810
57,3825
58,3840
59,3855
60,3870
61,3877
62,3884
63,3891
64,3898
65,3905
66,3912
67,3919
68,3926
69,3933
70,3940
71,3947
72,3954
73,3961
74,3968
75,3975
76,3982
77,3989
78,3996
79,4003
80,4010
81,4017
82,4024
83,4031
84,4038
85,4045
86,4052
87,4059
88,4066
89,4073
90,4078
91,4083
92,4088
93,4093
94,4098
95,4103
96,4108
97,4113
98,4118
99,4123
100,4127
101,4131
102,4135
103,4139
104,4143
105,4147
106,4151
107,4155
108,4159
109,4163
110,4167
111,4171
112,4175
113,4179
114,4183
115,4187
116,4191
117,4195
118,4199
119,4203
120,4207
121,4211
122,4215
123,4219
124,4223
125,4227
126,4231
127,4235
128,4239
129,4243
130,4247
131,4251
132,4255
133,4259
134,4263
135,4267
136,4271
137,4275
138,4279
139,4283
140,4287
141,4291
142,4295
143,4299
144,4303
145,4307
146,4311
147,4315
148,4319
149,4323
150,4327
151,4331
152,4335
153,4339
154,4343
155,4347
156,4351
157,4355
158,4359
159,4363
160,4367
161,4371
162,4375
163,4379
164,4383
165,4387
166,4391
167,4395
168,4399
169,4401
170,4403
171,4405
172,4407
173,4409
174,4411
175,4413
176,4415
177,4417
178,4419
179,4421
180,4423
