Days	G0	G25	G50	G75	G100
0	2.532	2.932	3.232	3.55	4.041
1	2.49	2.892	3.196	3.52	4.026
2	2.5	2.904	3.21	3.538	4.049
3	2.516	2.923	3.232	3.562	4.079
4	2.536	2.945	3.256	3.589	4.11
5	2.558	2.969	3.282	3.618	4.144
6	2.581	2.995	3.31	3.648	4.178
7	2.605	3.022	3.339	3.68	4.214
8	2.63	3.05	3.369	3.712	4.25
9	2.656	3.078	3.4	3.745	4.287
10	2.683	3.108	3.431	3.779	4.326
11	2.711	3.139	3.464	3.815	4.365
12	2.74	3.17	3.498	3.851	4.406
13	2.77	3.203	3.533	3.889	4.448
14	2.801	3.237	3.569	3.928	4.491
15	2.832	3.271	3.606	3.967	4.535
16	2.864	3.306	3.644	4.008	4.58
17	2.896	3.342	3.682	4.048	4.625
18	2.929	3.378	3.72	4.089	4.671
19	2.961	3.413	3.758	4.131	4.716
20	2.994	3.449	3.797	4.172	4.762
21	3.026	3.485	3.835	4.213	4.808
22	3.059	3.521	3.874	4.254	4.853
23	3.091	3.556	3.912	4.295	4.899
24	3.124	3.592	3.95	4.335	4.944
25	3.156	3.627	3.987	4.376	4.988
26	3.188	3.662	4.025	4.416	5.033
27	3.219	3.697	4.062	4.456	5.077
28	3.251	3.731	4.099	4.495	5.12
29	3.282	3.766	4.135	4.534	5.164
30	3.313	3.8	4.172	4.573	5.207
31	3.343	3.833	4.208	4.612	5.249
32	3.374	3.866	4.243	4.65	5.291
33	3.404	3.899	4.278	4.687	5.333
34	3.434	3.932	4.313	4.725	5.374
35	3.463	3.964	4.348	4.762	5.415
36	3.492	3.996	4.382	4.798	5.456
37	3.521	4.028	4.416	4.834	5.495
38	3.55	4.059	4.449	4.87	5.535
39	3.578	4.09	4.482	4.905	5.574
40	3.606	4.121	4.515	4.94	5.613
41	3.634	4.151	4.547	4.975	5.651
42	3.661	4.181	4.579	5.009	5.689
43	3.688	4.211	4.611	5.043	5.726
44	3.715	4.241	4.643	5.077	5.763
45	3.742	4.27	4.674	5.11	5.8
46	3.768	4.299	4.704	5.143	5.837
47	3.795	4.327	4.735	5.176	5.873
48	3.82	4.356	4.765	5.208	5.908
49	3.846	4.384	4.795	5.24	5.944
50	3.871	4.411	4.825	5.271	5.978
51	3.896	4.439	4.854	5.303	6.013
52	3.921	4.466	4.883	5.334	6.047
53	3.946	4.493	4.912	5.364	6.081
54	3.97	4.519	4.94	5.395	6.115
55	3.994	4.546	4.968	5.425	6.148
56	4.018	4.572	4.996	5.455	6.181
57	4.042	4.598	5.024	5.484	6.213
58	4.065	4.623	5.051	5.513	6.246
59	4.089	4.649	5.078	5.542	6.278
60	4.112	4.674	5.105	5.571	6.31
61	4.135	4.699	5.132	5.6	6.341
62	4.157	4.724	5.158	5.628	6.372
63	4.18	4.748	5.184	5.656	6.403
64	4.202	4.773	5.21	5.684	6.434
65	4.224	4.797	5.236	5.711	6.465
66	4.246	4.821	5.262	5.739	6.495
67	4.268	4.845	5.287	5.766	6.525
68	4.289	4.868	5.312	5.793	6.555
69	4.311	4.892	5.337	5.819	6.584
70	4.332	4.915	5.362	5.846	6.614
71	4.353	4.938	5.386	5.872	6.643
72	4.374	4.961	5.411	5.898	6.672
73	4.394	4.983	5.435	5.924	6.7
74	4.415	5.006	5.459	5.95	6.728
75	4.435	5.028	5.483	5.975	6.757
76	4.455	5.05	5.506	6	6.785
77	4.475	5.072	5.53	6.025	6.812
78	4.495	5.094	5.553	6.05	6.84
79	4.515	5.115	5.576	6.075	6.867
80	4.535	5.137	5.599	6.099	6.894
81	4.554	5.158	5.621	6.124	6.921
82	4.573	5.179	5.644	6.148	6.948
83	4.592	5.2	5.666	6.172	6.975
84	4.611	5.221	5.688	6.195	7.001
85	4.63	5.241	5.71	6.219	7.027
86	4.649	5.262	5.732	6.243	7.053
87	4.667	5.282	5.754	6.266	7.079
88	4.686	5.302	5.776	6.289	7.105
89	4.704	5.322	5.797	6.312	7.13
90	4.722	5.342	5.818	6.335	7.155
91	4.74	5.362	5.839	6.357	7.18
92	4.758	5.382	5.86	6.38	7.205
93	4.776	5.401	5.881	6.402	7.23
94	4.794	5.42	5.902	6.424	7.255
95	4.811	5.44	5.922	6.446	7.279
96	4.829	5.459	5.943	6.468	7.303
97	4.846	5.478	5.963	6.49	7.328
98	4.863	5.496	5.983	6.511	7.352
99	4.88	5.515	6.003	6.533	7.375
100	4.897	5.534	6.023	6.554	7.399
101	4.914	5.552	6.043	6.575	7.423
102	4.931	5.57	6.062	6.596	7.446
103	4.947	5.589	6.082	6.617	7.469
104	4.964	5.607	6.101	6.638	7.492
105	4.98	5.625	6.12	6.658	7.515
106	4.996	5.643	6.139	6.679	7.538
107	5.013	5.66	6.158	6.699	7.561
108	5.029	5.678	6.177	6.72	7.583
109	5.045	5.695	6.196	6.74	7.605
110	5.061	5.713	6.214	6.759	7.627
111	5.076	5.73	6.233	6.779	7.65
112	5.092	5.747	6.251	6.799	7.671
113	5.107	5.764	6.269	6.818	7.693
114	5.123	5.781	6.287	6.838	7.715
115	5.138	5.798	6.305	6.857	7.737
116	5.153	5.814	6.323	6.876	7.758
117	5.168	5.831	6.341	6.895	7.779
118	5.183	5.848	6.359	6.914	7.8
119	5.198	5.864	6.376	6.933	7.821
120	5.213	5.88	6.394	6.952	7.842
121	5.228	5.896	6.411	6.97	7.863
122	5.242	5.912	6.428	6.989	7.883
123	5.257	5.928	6.445	7.007	7.904
124	5.271	5.944	6.462	7.025	7.924
125	5.286	5.96	6.479	7.043	7.944
126	5.3	5.975	6.496	7.062	7.964
127	5.314	5.991	6.512	7.079	7.984
128	5.328	6.006	6.529	7.097	8.004
129	5.342	6.022	6.545	7.115	8.024
130	5.356	6.037	6.562	7.132	8.043
131	5.37	6.052	6.578	7.15	8.063
132	5.384	6.067	6.594	7.167	8.082
133	5.397	6.082	6.61	7.184	8.102
134	5.411	6.097	6.626	7.202	8.121
135	5.424	6.112	6.642	7.218	8.14
136	5.438	6.126	6.657	7.235	8.158
137	5.451	6.141	6.673	7.252	8.177
138	5.464	6.155	6.688	7.269	8.196
139	5.477	6.17	6.704	7.286	8.215
140	5.49	6.184	6.719	7.302	8.233
141	5.503	6.198	6.734	7.318	8.251
142	5.516	6.212	6.75	7.335	8.269
143	5.529	6.227	6.765	7.351	8.288
144	5.541	6.24	6.78	7.367	8.306
145	5.554	6.254	6.794	7.383	8.324
146	5.567	6.268	6.809	7.399	8.341
147	5.579	6.282	6.824	7.415	8.359
148	5.591	6.295	6.838	7.43	8.377
149	5.604	6.309	6.853	7.446	8.394
150	5.616	6.322	6.867	7.461	8.412
151	5.628	6.336	6.882	7.477	8.429
152	5.64	6.349	6.896	7.492	8.446
153	5.652	6.362	6.91	7.507	8.463
154	5.664	6.375	6.924	7.523	8.48
155	5.676	6.388	6.938	7.538	8.497
156	5.688	6.401	6.952	7.553	8.514
157	5.699	6.414	6.966	7.568	8.531
158	5.711	6.427	6.98	7.582	8.547
159	5.723	6.44	6.993	7.597	8.564
160	5.734	6.452	7.007	7.612	8.58
161	5.746	6.465	7.021	7.626	8.597
162	5.757	6.478	7.034	7.641	8.613
163	5.768	6.49	7.047	7.656	8.629
164	5.78	6.502	7.061	7.67	8.645
165	5.791	6.515	7.074	7.684	8.662
166	5.802	6.527	7.087	7.698	8.678
167	5.813	6.539	7.1	7.713	8.694
168	5.824	6.551	7.113	7.727	8.709
169	5.835	6.563	7.126	7.741	8.725
170	5.846	6.576	7.139	7.755	8.741
171	5.857	6.587	7.152	7.769	8.756
172	5.868	6.599	7.165	7.782	8.772
173	5.878	6.611	7.178	7.796	8.787
174	5.889	6.623	7.19	7.81	8.803
175	5.9	6.635	7.203	7.823	8.818
176	5.91	6.646	7.215	7.837	8.833
177	5.921	6.658	7.228	7.85	8.849
178	5.931	6.669	7.24	7.864	8.864
179	5.942	6.681	7.253	7.877	8.879
180	5.952	6.692	7.265	7.89	8.894
181	5.962	6.704	7.277	7.904	8.909
182	5.972	6.715	7.289	7.917	8.924
183	5.983	6.726	7.302	7.93	8.939
184	5.993	6.738	7.314	7.943	8.953
185	6.003	6.749	7.326	7.956	8.968
186	6.013	6.76	7.338	7.969	8.983
187	6.023	6.771	7.35	7.982	8.997
188	6.033	6.782	7.361	7.995	9.012
189	6.043	6.793	7.373	8.008	9.026
190	6.053	6.804	7.385	8.02	9.04
191	6.062	6.815	7.397	8.033	9.055
192	6.072	6.825	7.408	8.045	9.069
193	6.082	6.836	7.42	8.058	9.083
194	6.092	6.847	7.431	8.071	9.097
195	6.101	6.857	7.443	8.083	9.111
196	6.111	6.868	7.454	8.095	9.125
197	6.12	6.879	7.466	8.108	9.14
198	6.13	6.889	7.477	8.12	9.153
199	6.139	6.9	7.488	8.132	9.167
