Days	G0	G25	G50	G75	G100	
0	2.604	3.027	3.346	3.687	4.215
1	2.58	3	3.317	3.657	4.188
2	2.597	3.018	3.337	3.679	4.212
3	2.619	3.042	3.363	3.707	4.244
4	2.644	3.069	3.392	3.738	4.278
5	2.67	3.098	3.422	3.771	4.315
6	2.697	3.128	3.455	3.805	4.353
7	2.726	3.159	3.488	3.841	4.393
8	2.755	3.191	3.522	3.877	4.433
9	2.786	3.224	3.558	3.915	4.475
10	2.817	3.259	3.594	3.954	4.518
11	2.849	3.294	3.632	3.995	4.562
12	2.883	3.331	3.671	4.036	4.608
13	2.917	3.368	3.711	4.079	4.655
14	2.952	3.407	3.753	4.124	4.704
15	2.989	3.447	3.796	4.169	4.754
16	3.026	3.488	3.839	4.216	4.805
17	3.063	3.529	3.883	4.262	4.857
18	3.101	3.57	3.927	4.31	4.909
19	3.139	3.612	3.971	4.357	4.961
20	3.176	3.654	4.016	4.404	5.013
21	3.214	3.695	4.06	4.452	5.065
22	3.252	3.737	4.105	4.499	5.116
23	3.29	3.778	4.149	4.546	5.168
24	3.328	3.82	4.193	4.593	5.22
25	3.365	3.861	4.237	4.64	5.271
26	3.403	3.902	4.281	4.687	5.322
27	3.44	3.943	4.324	4.733	5.372
28	3.477	3.983	4.367	4.779	5.422
29	3.514	4.024	4.41	4.824	5.472
30	3.55	4.063	4.453	4.87	5.522
31	3.587	4.103	4.495	4.914	5.57
32	3.622	4.142	4.536	4.959	5.619
33	3.658	4.181	4.578	5.002	5.667
34	3.693	4.22	4.619	5.046	5.714
35	3.728	4.258	4.659	5.089	5.761
36	3.763	4.296	4.699	5.131	5.807
37	3.797	4.333	4.739	5.173	5.852
38	3.831	4.37	4.778	5.215	5.898
39	3.865	4.406	4.817	5.256	5.942
40	3.898	4.443	4.855	5.296	5.986
41	3.931	4.478	4.893	5.337	6.03
42	3.964	4.514	4.93	5.376	6.073
43	3.996	4.549	4.967	5.416	6.115
44	4.028	4.584	5.004	5.454	6.157
45	4.06	4.618	5.04	5.493	6.199
46	4.091	4.652	5.076	5.531	6.24
47	4.122	4.686	5.112	5.568	6.28
48	4.153	4.719	5.147	5.605	6.321
49	4.183	4.752	5.182	5.642	6.36
50	4.213	4.784	5.216	5.678	6.4
51	4.243	4.817	5.25	5.714	6.438
52	4.273	4.848	5.284	5.75	6.476
53	4.302	4.88	5.317	5.785	6.514
54	4.331	4.911	5.35	5.819	6.552
55	4.359	4.942	5.383	5.854	6.589
56	4.388	4.973	5.415	5.888	6.626
57	4.416	5.003	5.447	5.921	6.662
58	4.444	5.033	5.478	5.955	6.697
59	4.471	5.063	5.51	5.988	6.733
60	4.499	5.092	5.541	6.02	6.768
61	4.526	5.121	5.571	6.053	6.803
62	4.553	5.15	5.602	6.085	6.837
63	4.579	5.179	5.632	6.116	6.871
64	4.606	5.207	5.662	6.148	6.905
65	4.632	5.235	5.691	6.179	6.938
66	4.658	5.263	5.721	6.209	6.971
67	4.683	5.291	5.749	6.24	7.004
68	4.709	5.318	5.778	6.27	7.036
69	4.734	5.345	5.807	6.3	7.068
70	4.759	5.372	5.835	6.329	7.1
71	4.783	5.398	5.863	6.359	7.131
72	4.808	5.425	5.89	6.387	7.162
73	4.832	5.451	5.917	6.416	7.193
74	4.856	5.476	5.945	6.445	7.224
75	4.88	5.502	5.971	6.473	7.254
76	4.904	5.527	5.998	6.501	7.284
77	4.927	5.552	6.024	6.528	7.313
78	4.95	5.577	6.05	6.556	7.343
79	4.973	5.602	6.076	6.583	7.372
80	4.996	5.626	6.102	6.61	7.4
81	5.019	5.651	6.127	6.636	7.429
82	5.041	5.674	6.152	6.663	7.457
83	5.063	5.698	6.177	6.689	7.485
84	5.085	5.722	6.202	6.715	7.513
85	5.107	5.745	6.226	6.74	7.54
86	5.128	5.768	6.251	6.766	7.568
87	5.15	5.791	6.275	6.791	7.595
88	5.171	5.814	6.299	6.816	7.621
89	5.192	5.837	6.322	6.841	7.648
90	5.213	5.859	6.346	6.865	7.674
91	5.234	5.881	6.369	6.89	7.7
92	5.254	5.903	6.392	6.914	7.726
93	5.275	5.925	6.415	6.938	7.752
94	5.295	5.947	6.438	6.962	7.777
95	5.315	5.968	6.46	6.985	7.803
96	5.335	5.989	6.482	7.009	7.827
97	5.355	6.011	6.505	7.032	7.852
98	5.374	6.031	6.527	7.055	7.877
99	5.394	6.052	6.548	7.078	7.901
100	5.413	6.073	6.57	7.1	7.926
101	5.432	6.093	6.591	7.123	7.95
102	5.451	6.114	6.613	7.145	7.974
103	5.47	6.134	6.634	7.167	7.997
104	5.488	6.154	6.655	7.189	8.021
105	5.507	6.174	6.676	7.211	8.044
106	5.525	6.193	6.696	7.233	8.068
107	5.543	6.213	6.717	7.254	8.091
108	5.562	6.232	6.737	7.276	8.113
109	5.58	6.251	6.757	7.297	8.136
110	5.597	6.27	6.777	7.318	8.159
111	5.615	6.289	6.797	7.339	8.181
112	5.633	6.308	6.817	7.359	8.203
113	5.65	6.327	6.837	7.38	8.225
114	5.667	6.345	6.856	7.4	8.247
115	5.684	6.364	6.875	7.421	8.269
116	5.702	6.382	6.895	7.441	8.291
117	5.718	6.4	6.914	7.461	8.312
118	5.735	6.418	6.933	7.481	8.334
119	5.752	6.436	6.951	7.501	8.355
120	5.768	6.454	6.97	7.52	8.376
121	5.785	6.472	6.989	7.54	8.397
122	5.801	6.489	7.007	7.559	8.418
123	5.817	6.507	7.025	7.578	8.438
124	5.834	6.524	7.043	7.597	8.459
125	5.85	6.541	7.062	7.617	8.48
126	5.865	6.558	7.079	7.635	8.5
127	5.881	6.575	7.097	7.654	8.52
128	5.897	6.592	7.115	7.673	8.54
129	5.912	6.609	7.133	7.691	8.56
130	5.928	6.625	7.15	7.71	8.58
131	5.943	6.642	7.167	7.728	8.6
132	5.958	6.658	7.185	7.746	8.619
133	5.973	6.674	7.202	7.764	8.639
134	5.988	6.691	7.219	7.782	8.658
135	6.003	6.707	7.236	7.8	8.677
136	6.018	6.723	7.253	7.818	8.696
137	6.033	6.738	7.269	7.835	8.715
138	6.047	6.754	7.286	7.853	8.734
139	6.062	6.77	7.302	7.87	8.753
140	6.076	6.785	7.319	7.888	8.772
141	6.091	6.801	7.335	7.905	8.79
142	6.105	6.816	7.351	7.922	8.809
143	6.119	6.831	7.367	7.939	8.827
144	6.133	6.847	7.383	7.956	8.846
145	6.147	6.862	7.399	7.972	8.864
146	6.161	6.877	7.415	7.989	8.882
147	6.175	6.891	7.431	8.006	8.9
148	6.188	6.906	7.446	8.022	8.918
149	6.202	6.921	7.462	8.039	8.935
150	6.215	6.935	7.477	8.055	8.953
151	6.229	6.95	7.493	8.071	8.971
152	6.242	6.964	7.508	8.087	8.988
153	6.255	6.979	7.523	8.103	9.006
154	6.268	6.993	7.538	8.119	9.023
155	6.281	7.007	7.553	8.135	9.04
156	6.294	7.021	7.568	8.151	9.057
157	6.307	7.035	7.582	8.166	9.074
158	6.32	7.049	7.597	8.182	9.091
159	6.333	7.063	7.612	8.197	9.108
160	6.345	7.076	7.626	8.213	9.125
161	6.358	7.09	7.641	8.228	9.141
162	6.37	7.103	7.655	8.243	9.158
163	6.383	7.117	7.669	8.258	9.174
164	6.395	7.13	7.683	8.273	9.191
165	6.407	7.144	7.698	8.288	9.207
166	6.42	7.157	7.712	8.303	9.223
167	6.432	7.17	7.726	8.318	9.239
168	6.444	7.183	7.739	8.333	9.255
169	6.456	7.196	7.753	8.347	9.272
170	6.467	7.209	7.767	8.362	9.287
171	6.479	7.222	7.781	8.376	9.303
172	6.491	7.235	7.794	8.391	9.319
173	6.503	7.247	7.808	8.405	9.335
174	6.514	7.26	7.821	8.419	9.35
175	6.526	7.273	7.834	8.434	9.366
176	6.537	7.285	7.848	8.448	9.381
177	6.549	7.297	7.861	8.462	9.397
178	6.56	7.31	7.874	8.476	9.412
179	6.571	7.322	7.887	8.49	9.427
180	6.583	7.334	7.9	8.504	9.442
181	6.594	7.347	7.913	8.517	9.457
182	6.605	7.359	7.926	8.531	9.472
183	6.616	7.371	7.939	8.545	9.488
184	6.627	7.383	7.952	8.558	9.502
185	6.638	7.395	7.964	8.572	9.517
186	6.649	7.407	7.977	8.586	9.532
187	6.659	7.418	7.99	8.599	9.547
188	6.67	7.43	8.002	8.612	9.562
189	6.681	7.442	8.015	8.625	9.576
190	6.691	7.453	8.027	8.639	9.591
191	6.702	7.465	8.039	8.652	9.605
192	6.713	7.477	8.052	8.665	9.619
193	6.723	7.488	8.064	8.678	9.634
194	6.734	7.499	8.076	8.691	9.648
195	6.744	7.511	8.088	8.704	9.662
196	6.754	7.522	8.1	8.717	9.676
197	6.764	7.533	8.112	8.73	9.69
198	6.775	7.544	8.124	8.742	9.705
199	6.785	7.555	8.136	8.755	9.718
200	6.795	7.567	8.148	8.767	9.732
201	6.805	7.578	8.159	8.78	9.746
202	6.815	7.589	8.171	8.793	9.76
203	6.825	7.599	8.183	8.805	9.774
204	6.835	7.61	8.194	8.817	9.787
205	6.844	7.621	8.206	8.83	9.801
206	6.854	7.632	8.217	8.842	9.815
207	6.864	7.643	8.229	8.854	9.828
208	6.874	7.653	8.24	8.866	9.841
209	6.883	7.664	8.251	8.879	9.855
210	6.893	7.674	8.263	8.891	9.868
211	6.902	7.685	8.274	8.903	9.882
212	6.912	7.695	8.285	8.915	9.895
213	6.922	7.706	8.296	8.927	9.908
214	6.931	7.716	8.307	8.939	9.921
215	6.94	7.726	8.318	8.95	9.934
216	6.95	7.737	8.329	8.962	9.947
217	6.959	7.747	8.34	8.974	9.96
218	6.968	7.757	8.351	8.986	9.973
219	6.977	7.767	8.362	8.997	9.986
220	6.987	7.777	8.373	9.009	9.999
221	6.996	7.787	8.384	9.02	10.011
222	7.005	7.797	8.394	9.032	10.024
223	7.014	7.807	8.405	9.043	10.037
224	7.023	7.817	8.416	9.055	10.05
225	7.032	7.827	8.426	9.066	10.062
226	7.041	7.837	8.437	9.077	10.075
227	7.05	7.847	8.447	9.089	10.087
228	7.058	7.857	8.458	9.1	10.1
229	7.067	7.866	8.468	9.111	10.112
230	7.076	7.876	8.479	9.122	10.124
231	7.085	7.886	8.489	9.133	10.137
232	7.094	7.895	8.499	9.144	10.149
233	7.102	7.905	8.51	9.155	10.161
234	7.111	7.914	8.52	9.166	10.173
235	7.12	7.924	8.53	9.177	10.186
236	7.128	7.933	8.54	9.188	10.198
237	7.137	7.943	8.55	9.199	10.21
238	7.145	7.952	8.56	9.21	10.222
239	7.154	7.962	8.57	9.221	10.234
240	7.162	7.971	8.58	9.231	10.246
241	7.17	7.98	8.59	9.242	10.258
242	7.179	7.989	8.6	9.253	10.269
243	7.187	7.999	8.61	9.263	10.281
244	7.195	8.008	8.62	9.274	10.293
245	7.204	8.017	8.63	9.285	10.305
246	7.212	8.026	8.64	9.295	10.316
247	7.22	8.035	8.649	9.306	10.328
248	7.228	8.044	8.659	9.316	10.34
249	7.237	8.053	8.669	9.327	10.352
250	7.245	8.062	8.679	9.337	10.363
251	7.253	8.071	8.688	9.347	10.375
252	7.261	8.08	8.698	9.358	10.386
253	7.269	8.089	8.707	9.368	10.397
254	7.277	8.098	8.717	9.378	10.409
255	7.285	8.107	8.726	9.388	10.42
256	7.293	8.116	8.736	9.399	10.432
257	7.301	8.124	8.745	9.409	10.443
258	7.309	8.133	8.755	9.419	10.454
259	7.317	8.142	8.764	9.429	10.466
260	7.324	8.151	8.774	9.439	10.477
261	7.332	8.159	8.783	9.449	10.488
262	7.34	8.168	8.792	9.459	10.499
